 cliente ; fecha      ; hora     ; p1/1000 ; p2/1000 
18;2016-12-10;05:02:18;0;0
18;2016-12-10;05:03:18;0;0
18;2016-12-10;05:03:19;0;0
18;2016-12-10;05:04:18;0;254
18;2016-12-10;05:05:18;0;0
18;2016-12-10;05:06:18;0;0
18;2016-12-10;05:07:18;0;0
18;2016-12-10;05:08:18;0;0
18;2016-12-10;05:09:18;0;0
18;2016-12-10;05:10:18;0;0
18;2016-12-10;05:11:18;0;0
18;2016-12-10;05:12:18;0;254
18;2016-12-10;05:13:18;0;0
18;2016-12-10;05:14:18;0;0
18;2016-12-10;05:15:18;0;0
18;2016-12-10;05:16:18;0;0
18;2016-12-10;05:17:18;0;0
18;2016-12-10;05:18:18;0;0
18;2016-12-10;05:19:18;0;254
18;2016-12-10;05:20:18;0;0
18;2016-12-10;05:21:18;0;0
18;2016-12-10;05:22:18;0;0
18;2016-12-10;05:23:18;0;0
18;2016-12-10;05:24:18;0;0
18;2016-12-10;05:25:18;0;0
18;2016-12-10;05:26:18;0;0
18;2016-12-10;05:27:18;0;0
18;2016-12-10;05:28:18;0;0
18;2016-12-10;05:29:18;0;0
18;2016-12-10;05:30:18;0;0
18;2016-12-10;05:31:18;0;0
18;2016-12-10;05:32:18;0;254
18;2016-12-10;05:33:18;0;0
18;2016-12-10;05:34:18;0;0
18;2016-12-10;05:35:18;0;0
18;2016-12-10;05:36:18;0;0
18;2016-12-10;05:37:18;0;0
18;2016-12-10;05:38:18;0;0
18;2016-12-10;05:39:18;0;254
18;2016-12-10;05:40:18;0;0
18;2016-12-10;05:41:18;0;0
18;2016-12-10;05:42:18;0;0
18;2016-12-10;05:43:18;0;0
18;2016-12-10;05:44:18;0;0
18;2016-12-10;05:45:18;0;0
18;2016-12-10;05:46:18;0;0
18;2016-12-10;05:47:18;0;0
18;2016-12-10;05:48:18;0;0
18;2016-12-10;05:49:18;0;0
